Name,Energy,Delay,Area,EDAP
specbzip,126.050431,0.083982,15.954500,168.893816
specbzip_128kB,155.194687,0.082521,18.609400,238.327250
specbzip_32kB,75.930265,0.085315,13.323500,86.309507
specbzip_64kB,126.050431,0.083982,15.954500,168.893816
specbzip_dassoc_4,101.955801,0.083184,14.818000,125.672811
specbzip_dassoc_8,110.028254,0.082879,15.118600,137.866992
specbzip_dcache_128kB,188.602786,0.082519,21.001200,326.848255
specbzip_dcache_32kB,110.479076,0.085320,15.715400,148.134536
specbzip_dcache_64kB,160.073245,0.083994,18.346300,246.669529
specbzip_iassoc_4,132.718951,0.083992,16.717900,186.359950
specbzip_iassoc_8,136.439127,0.083998,17.564000,201.294221
specbzip_icache_128kB,184.048432,0.083986,20.759900,320.895980
specbzip_icache_64kB,160.073245,0.083994,18.346300,246.669529
specbzip_l2assoc_16,126.172582,0.084064,16.628300,176.369261
specbzip_l2cache_1MB,127.427582,0.085526,13.116500,142.948488
specbzip_l2cache_4MB,125.269367,0.082692,22.273200,230.723055
specbzip_linesize_128,154.774368,0.083329,51.199400,660.328559
spechmmer,92.423146,0.059396,15.954500,87.583267
spechmmer_dassoc_4,75.787255,0.059387,14.818000,66.692524
spechmmer_dassoc_8,81.858290,0.059384,15.118600,73.492614
spechmmer_dcache_128kB,139.487039,0.059292,21.001200,173.689700
spechmmer_dcache_32kB,78.047900,0.059557,15.715400,73.049875
spechmmer_dcache_64kB,116.452680,0.059386,18.346300,126.876752
spechmmer_iassoc_4,97.120019,0.059389,16.717900,96.426521
spechmmer_iassoc_8,99.737998,0.059385,17.564000,104.030536
spechmmer_icache_128kB,133.406354,0.059382,20.759900,164.458602
spechmmer_icache_64kB,116.452680,0.059386,18.346300,126.876752
spechmmer_l2assoc_16,92.438648,0.059396,16.628300,91.297447
spechmmer_l2cache_1MB,92.262480,0.059396,13.116500,71.878712
spechmmer_l2cache_4MB,92.755466,0.059396,22.273200,122.709823
spechmmer_linesize_128,111.472357,0.059099,51.199400,337.296773
speclibm,237.660157,0.174671,15.954500,662.308586
speclibm_dassoc_4,189.818644,0.174671,14.818000,491.302827
speclibm_dassoc_8,201.315140,0.174671,15.118600,531.629192
speclibm_dcache_128kB,365.957579,0.174671,21.001200,1342.442408
speclibm_dcache_32kB,220.282506,0.174676,15.715400,604.698215
speclibm_dcache_64kB,308.382699,0.174671,18.346300,988.232886
speclibm_iassoc_4,251.495418,0.174665,16.717900,734.374668
speclibm_iassoc_8,259.215611,0.174665,17.564000,795.225813
speclibm_icache_128kB,358.261145,0.174665,20.759900,1299.064921
speclibm_icache_64kB,308.382699,0.174671,18.346300,988.232886
speclibm_l2assoc_16,237.717624,0.174671,16.628300,690.446510
speclibm_l2cache_1MB,237.012853,0.174772,13.116500,543.327539
speclibm_l2cache_4MB,238.727494,0.174482,22.273200,927.760090
speclibm_linesize_128,213.438275,0.129065,51.199400,1410.410915
specmcf,97.279011,0.064955,15.954500,100.812627
specmcf_dassoc_4,79.731231,0.064933,14.818000,76.715572
specmcf_dassoc_8,87.334143,0.064931,15.118600,85.732943
specmcf_dcache_128kB,132.942158,0.057759,21.001200,161.259942
specmcf_dcache_32kB,75.700410,0.057821,15.715400,68.787459
specmcf_dcache_64kB,111.100944,0.057780,18.346300,117.772468
specmcf_iassoc_4,92.277058,0.057773,16.717900,89.125172
specmcf_iassoc_8,94.830682,0.057773,17.564000,96.227061
specmcf_icache_128kB,127.589289,0.057772,20.759900,153.023058
specmcf_icache_64kB,111.100944,0.057780,18.346300,117.772468
specmcf_l2assoc_16,97.300710,0.064956,16.628300,105.095261
specmcf_l2cache_1MB,97.074460,0.065187,13.116500,83.001118
specmcf_l2cache_4MB,97.977684,0.064926,22.273200,141.686487
specmcf_linesize_128,124.020897,0.066527,51.199400,422.432848
specsjeng,672.847494,0.513528,15.954500,5512.695015
specsjeng_dassoc_4,536.067224,0.513526,14.818000,4079.165086
specsjeng_dassoc_8,577.949617,0.513518,15.118600,4487.011972
specsjeng_dcache_128kB,1043.310233,0.513526,21.001200,11251.748467
specsjeng_dcache_32kB,639.197254,0.513542,15.715400,5158.652910
specsjeng_dcache_64kB,880.763499,0.513524,18.346300,8297.906647
specsjeng_iassoc_4,713.551022,0.513533,16.717900,6125.973485
specsjeng_iassoc_8,736.240172,0.513526,17.564000,6640.570258
specsjeng_icache_128kB,1023.636660,0.513524,20.759900,10912.690392
specsjeng_icache_64kB,880.763499,0.513524,18.346300,8297.906647
specsjeng_l2assoc_16,673.044887,0.513545,16.628300,5747.386268
specsjeng_l2cache_1MB,670.463018,0.513664,13.116500,4517.227055
specsjeng_l2cache_4MB,676.707265,0.513271,22.273200,7736.244430
specsjeng_linesize_128,538.115607,0.339974,51.199400,9366.690377
